,Name,Position,Rookie PPG,FGA,FG_Pct,Games Played,MPG,Rebounds,Assists,Steals,3 Pt. Att,3 Pt. Pct,FT Pct,Sophomore PPG
0,Alaa Abdelnaby,PF,3.1,2.7,.474,43,6.7,2.1,0.3,0.1,0.0,,.568,6.1
1,Zaid Abdul-Aziz,C,7.3,8.0,.369,49,19.3,8.3,0.8,,0,N/A,.619,7.4
2,Kareem Abdul-Jabbar*,C,28.8,22.1,.518,82,43.1,14.5,4.1,,,,.653,31.7
3,Mahmoud Abdul-Rauf,SG,4.2,4.6,.382,66,13.9,1.7,2.1,,0,N/A,.648,13.7
4,Tariq Abdul-Wahad,SG,6.4,6.1,.403,59,16.3,2.0,0.9,0.6,0.3,.211,.672,9.3
5,Shareef Abdur-Rahim,PF,18.7,15.2,.453,80,35.0,6.9,2.2,1.0,0.3,.259,.746,22.3
6,Tom Abernethy,SF,6.3,5.0,.484,70,19.7,4.2,1.4,0.7,,,.754,6.8
7,Forest Able,,0.0,2.0,.000,1,1.0,1.0,1.0,0,0,N/A,,0
8,John Abramovic,,11.2,17.7,.242,47,,,0.7,0,0,N/A,.691,0.7
9,Álex Abrines,SG,6.0,5.0,.393,68,15.5,1.3,0.6,0.5,3.6,.381,.898,4.7
10,Alex Acker,SG,1.8,3.2,.250,5,7.0,1.0,0.8,0.2,1.0,.200,,2.9
11,Don Ackerman,PG,1.5,2.3,.222,28,7.9,0.5,0.8,0,0,N/A,.536,0
12,Mark Acres,C,3.6,2.6,.532,79,14.6,3.4,0.5,0.4,0.0,,.640,2.2
13,Bud Acton,SF,3.3,3.2,.392,23,8.5,2.0,0.5,0,0,N/A,.655,0
14,Quincy Acy,PF,4.0,2.6,.560,29,11.8,2.7,0.4,0.4,0.1,.500,.816,2.7
15,Alvan Adams,C,19.0,16.8,.469,80,33.2,9.1,5.6,1.5,,,.735,18.0
16,Don Adams,SF,11.4,11.7,.409,82,29.0,7.1,2.1,,,,.731,11.4
17,George Adams,SF,6.2,5.2,.490,60,14.4,3.4,1.1,,0.1,.286,.783,7.3
18,Hassan Adams,SG,2.9,2.2,.556,61,8.1,1.3,0.2,0.3,0.0,.000,.667,0.9
19,Jaylen Adams,PG,3.2,3.2,.345,34,12.6,1.8,1.9,0.4,2.2,.338,.778,0
20,Jordan Adams,SG,3.1,2.9,.407,30,8.3,0.9,0.5,0.5,0.8,.400,.609,3.5
21,Michael Adams,PG,2.2,2.4,.364,18,7.7,0.3,1.2,0.5,0.2,.000,.667,7.2
22,Steven Adams,C,3.3,2.3,.503,81,14.8,4.1,0.5,0.5,0.0,,.581,7.7
23,Rafael Addison,SF,5.8,5.3,.441,62,11.5,1.7,0.7,0.4,0.8,.320,.797,5.8
24,Bam Adebayo,C,6.9,4.9,.512,69,19.8,5.5,1.5,0.5,0.1,.000,.721,8.9
25,Deng Adel,SF,1.7,1.9,.306,19,10.2,1.0,0.3,0.1,1.2,.261,1.000,0
26,Rick Adelman,PG,6.3,5.8,.394,77,18.8,2.8,3.1,,0,N/A,.642,7.4
27,Jeff Adrien,PF,2.5,2.3,.426,23,8.5,2.5,0.4,0.2,0.0,,.579,2.6
28,Arron Afflalo,SG,3.7,3.2,.411,75,12.9,1.8,0.7,0.4,0.6,.208,.782,4.9
29,Maurice Ager,SG,2.2,2.2,.314,32,6.7,0.7,0.2,0.1,0.5,.333,.606,2.0
30,Mark Aguirre,SF,18.7,16.1,.465,51,28.8,4.9,3.2,0.7,1.4,.352,.680,24.4
31,Blake Ahearn,PG,5.8,4.8,.263,12,14.8,1.6,1.6,0.5,2.8,.294,.968,2.7
32,Danny Ainge,SG,4.1,4.2,.357,53,10.6,1.1,1.6,0.7,0.3,.294,.862,9.9
33,Matthew Aitch,PF,5.6,5.5,.405,45,14.2,3.6,0.4,0,0.0,.000,.675,0
34,Alexis Ajinça,PF,2.3,2.2,.362,31,5.9,1.0,0.1,0.2,0.1,.000,.714,1.7
35,Henry Akin,PF,3.8,4.6,.361,50,9.1,2.4,0.5,0,,,.703,3.1
36,Josh Akognon,PG,1.7,1.3,.500,3,3.0,0.3,0.3,0.0,0.7,.500,,0
37,DeVaughn Akoon-Purcell,SG,1.0,1.4,.300,7,3.1,0.6,0.9,0.3,0.6,.000,.500,0
38,Solomon Alabi,C,0.5,1.3,.200,12,4.9,1.2,0.2,0.2,0.0,,.000,2.4
39,Mark Alarie,PF,7.9,6.9,.490,64,17.3,3.3,1.2,0.3,0.1,.222,.663,5.2
40,Gary Alcorn,C,4.0,5.4,.292,58,11.6,4.8,0.4,0,0,N/A,.571,1.6
